Name,Symbol,Price,24h Change,Market Cap,Timestamp
Bitcoin,BTC,"$103,388.99",0.21%,"$2,062,003,435,859",2025-11-05 20:24:05
Ethereum,ETH,"$3,360.37",0.23%,"$405,588,261,975",2025-11-05 20:24:05
Tether,USDT,$0.9998,0.01%,"$183,403,190,663",2025-11-05 20:24:06
XRP,XRP,$2.26,0.13%,"$136,315,904,669",2025-11-05 20:24:06
BNB,BNB,$957.94,0.08%,"$131,945,311,639",2025-11-05 20:24:06
Solana,SOL,$159.04,0.36%,"$87,909,147,632",2025-11-05 20:24:06
USDC,USDC,$0.9998,0.00%,"$75,068,971,004",2025-11-05 20:24:06
TRON,TRX,$0.2875,0.15%,"$27,218,470,427",2025-11-05 20:24:06
Dogecoin,DOGE,$0.1659,0.28%,"$25,158,379,729",2025-11-05 20:24:06
Cardano,ADA,$0.5426,0.32%,"$19,460,552,089",2025-11-05 20:24:06
Bitcoin,BTC,"$103,344.31",0.13%,"$2,061,112,261,648",2025-11-05 20:25:09
Ethereum,ETH,"$3,357.81",0.17%,"$405,278,877,471",2025-11-05 20:25:10
Tether,USDT,$1.00,0.05%,"$183,489,286,520",2025-11-05 20:25:10
XRP,XRP,$2.26,0.05%,"$136,429,603,464",2025-11-05 20:25:10
BNB,BNB,$959.22,0.03%,"$132,121,115,235",2025-11-05 20:25:10
Solana,SOL,$159.29,0.52%,"$88,049,018,767",2025-11-05 20:25:10
USDC,USDC,$0.9998,0.04%,"$75,066,267,870",2025-11-05 20:25:10
TRON,TRX,$0.2872,0.08%,"$27,191,473,700",2025-11-05 20:25:10
Dogecoin,DOGE,$0.1650,0.13%,"$25,032,126,180",2025-11-05 20:25:10
Cardano,ADA,$0.5408,0.18%,"$19,396,725,739",2025-11-05 20:25:10
Bitcoin,BTC,"$102,944.16",0.04%,"$2,053,999,986,298",2025-11-13 18:50:31
Ethereum,ETH,"$3,494.69",0.19%,"$421,929,787,890",2025-11-13 18:50:31
Tether,USDT,$0.9999,0.01%,"$184,043,050,188",2025-11-13 18:50:32
XRP,XRP,$2.48,0.12%,"$149,374,941,385",2025-11-13 18:50:32
BNB,BNB,$965.16,0.12%,"$132,938,592,192",2025-11-13 18:50:32
Solana,SOL,$156.07,0.02%,"$86,469,774,324",2025-11-13 18:50:32
USDC,USDC,$1.00,0.01%,"$76,037,024,765",2025-11-13 18:50:32
TRON,TRX,$0.2980,0.17%,"$28,216,154,661",2025-11-13 18:50:32
Dogecoin,DOGE,$0.1752,0.29%,"$26,602,427,891",2025-11-13 18:50:32
Cardano,ADA,$0.5652,0.30%,"$20,276,820,507",2025-11-13 18:50:32
